league,source,home_team,away_team,over_1_5,over_2_5,over_3_5,home_over_1_5,away_over_1_5,xg,home_h2h,draw_h2h,away_h2h,score,g_h,g_a,total_goals,r_1_5,r_2_5,r_home_1_5,r_away_1_5,win
Liga Argentina,fbxg,Gimnasia–LP,Arg Juniors,0.8008517265285442,0.5768099188731564,0.3527681112177687,0.5768099188731564,0.0,3.0,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
Liga Argentina,fbxg,Godoy Cruz,Cen. Córdoba–SdE,0.829589778623284,0.5895953835177421,0.3559124780928197,0.5768099188731564,0.0302121084939928,3.6666666666666665,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
Liga Argentina,fbxg,Banfield,Instituto,0.4624181804767885,0.1597673435628126,0.0410444773017122,0.1133658207987149,0.0523344620053989,2.0,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Liga Argentina,fbxg,Rosario Central,Talleres,0.6932126828131324,0.3635224653929269,0.1468102054262414,0.2975653828758815,0.0938978246645707,2.9761904761904763,0.0,0.0,0.0,2–2,2,2,4,1.0,1.0,1.0,1.0,E
Liga Argentina,fbxg,Lanús,Unión,0.8063403353944841,0.5237294206191063,0.2753743553378891,0.4743743119206358,0.0938978246645707,3.642857142857143,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
Liga Argentina,fbxg,Barracas Central,Banfield,0.1863045777288524,0.0327759144567534,0.0042893937113034,0.0126468129514024,0.0203869312110299,1.0476190476190474,0.0,0.0,0.0,0–1,0,1,1,0.0,0.0,0.0,0.0,A
Liga Argentina,fbxg,Racing Club,Boca Juniors,0.5388057106706511,0.251784194608157,0.0959245250300702,0.2465525716259134,0.0069435806470707,2.095238095238095,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Liga Argentina,fbxg,Godoy Cruz,Sarmiento,0.7542454727975201,0.4601066540985803,0.229389198565995,0.4302912533424894,0.0523344620053989,3.2333333333333334,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
Liga Argentina,fbxg,Cen. Córdoba–SdE,Instituto,0.5986955622831613,0.2740924620150432,0.0977648519928554,0.0523344620053989,0.2340044996032214,2.5,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Liga Argentina,fbxg,Arg Juniors,Newell's OB,0.2649762454656862,0.0735027340881279,0.0163153246398803,0.0717541801684791,0.0018837186037273,1.1904761904761905,0.0,0.0,0.0,3–0,3,0,3,1.0,1.0,1.0,0.0,H
Brasileirao,fbxg,Corinthians,Flamengo,0.7661744556663972,0.4391341595767317,0.1862957925210143,0.2521859367301235,0.2499929220763276,3.462809917355372,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Brasileirao,fbxg,Juventude,Internacional,0.364365860313722,0.1149571201748806,0.0288357864531455,0.1044572169833775,0.0117246248762503,1.5867768595041325,0.0,0.0,0.0,1–3,1,3,4,1.0,1.0,0.0,1.0,A
Brasileirao,fbxg,Ath Paranaense,Palmeiras,0.6272743287896196,0.284210885866519,0.0939639701736901,0.1366537042440081,0.170913088233386,2.690909090909091,0.0,0.0,0.0,0–2,0,2,2,1.0,0.0,0.0,1.0,A
Brasileirao,fbxg,Fluminense,São Paulo,0.6152578152733278,0.2728764054816925,0.0881226894110591,0.1577845435919784,0.1366537042440081,2.636363636363636,0.0,0.0,0.0,2–0,2,0,2,1.0,0.0,1.0,0.0,H
Brasileirao,fbxg,Vitória,Vasco da Gama,0.7016552431983085,0.3728311955584679,0.1525839543764323,0.3048760436243265,0.0977597611344811,3.0227272727272725,0.0,0.0,0.0,0–1,0,1,1,0.0,0.0,0.0,0.0,A
Brasileirao,fbxg,Red Bull Bragantino,Bahia,0.7665140468398304,0.448223556621716,0.2003492657216169,0.3503686481179311,0.1506314438493248,3.4333333333333327,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Brasileirao,fbxg,Cuiabá,Juventude,0.7034661745263997,0.3687956118306031,0.1457743898999397,0.2783205906124929,0.1253673307582613,3.055555555555556,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
Brasileirao,fbxg,Internacional,Fortaleza,0.6313736088771253,0.3027825008206707,0.1126257891366654,0.2548211937962861,0.0643621458703606,2.6545454545454543,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Brasileirao,fbxg,Atl Goianiense,Vitória,0.6990690430457251,0.3570487225798577,0.1335687888737978,0.1981575731977372,0.1981575731977372,3.055555555555556,0.0,0.0,0.0,0–2,0,2,2,1.0,0.0,0.0,1.0,A
Brasileirao,fbxg,Ath Paranaense,Fortaleza,0.7216881849422081,0.3983546981187346,0.1708242079925942,0.3331650751491897,0.0977597611344811,3.127272727272727,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
MLS,fbxg,St. Louis,LA Galaxy,0.713825291136251,0.3778157462485345,0.1492383218448949,0.1487865184635814,0.2690620305631921,3.1242603550295858,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
MLS,fbxg,NY Red Bulls,Sporting KC,0.9263096944170848,0.7627081004754699,0.5466973228155627,0.7384766961355644,0.0926548570695108,4.911242603550296,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
MLS,fbxg,NE Revolution,St. Louis,0.9520482523189432,0.79626237587994,0.5461847522262844,0.4854257573920082,0.6040656386385248,5.739644970414201,0.0,0.0,0.0,2–2,2,2,4,1.0,1.0,1.0,1.0,E
